C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
53  ;* bet Per                          ;SB*;03 08 10.1324535 +40 57 20.328013      ;1.70     ;2.07     ;2.12     ;2.08     ;2.11     ;B8V                  ;1265;   1
54  ;HD 194279                          ;s*b;20 23 18.1647782064 +40 45 32.598481500;8.01     ;8.04     ;7.01     ;5.98     ;5.17     ;B2Ia                 ; 200;   0
55  ;V* RW Cyg                          ;s*r;20 28 50.5903286280 +39 58 54.425527932;13.00    ;10.60    ;8.00     ;5.32     ;3.25     ;M3-M4Ia-Iab          ; 133;   0
56  ;* gam Cyg                          ;*  ;20 22 13.7018357 +40 15 24.044963      ;3.44     ;2.90     ;2.23     ;1.74     ;1.40     ;F8Ib                 ; 607;   0
57  ;HD 196789                          ;PM*;20 37 58.9031663640 +42 50 44.296514556;     ~   ;7.52     ;     ~   ;6.7      ;     ~   ;F8                   ;  41;   0
58  ;HD 197037                          ;PM*;20 39 32.9599353024 +42 14 54.778250868;     ~   ;     ~   ;     ~   ;6.61     ;     ~   ;G0                   ;  81;   1
59  ;HD 195987                          ;SB*;20 32 51.6420701971 +41 53 54.550572462;     ~   ;7.89     ;     ~   ;6.6      ;     ~   ;G9V                  ; 171;   0
60  ;* 56 Cyg                           ;PM*;20 50 04.9316531664 +44 03 33.491559024;     ~   ;     ~   ;     ~   ;4.9      ;     ~   ;A6V                  ;  87;   0
61  ;* 57 Cyg                           ;SB*;20 53 14.7587928897 +44 23 14.147866955;4.05     ;4.63     ;4.77     ;4.84     ;4.97     ;B5V                  ; 197;   0
62  ;V* V1981 Cyg                       ;LP*;21 02 24.1997590656 +44 47 27.525392304;9.73     ;7.90     ;6.23     ;4.46     ;2.90     ;M4.5III              ; 116;   0
63  ;HD 199956                          ;*  ;20 58 55.6412825304 +44 03 37.623930840;     ~   ;7.709    ;6.638    ;5.98     ;5.66     ;K0.5III              ;  34;   0
64  ;HD 204153                          ;PM*;21 25 19.5488561064 +46 42 51.628763376;     ~   ;5.907    ;5.580    ;5.4      ;     ~   ;F0V                  ;  76;   0
65  ;* bet Lac                          ;** ;22 23 33.6233135918 +52 13 44.568181879;6.26     ;5.46     ;4.44     ;3.67     ;3.10     ;G9IIIbCa1            ; 161;   0
66  ;HD 219623                          ;PM*;23 16 42.3035603040 +53 12 48.509346060;     ~   ;6.06     ;     ~   ;5.2      ;     ~   ;F8V                  ; 201;   0
67  ;* lam Cas                          ;** ;00 31 46.3593467 +54 31 20.225689      ;     ~   ;     ~   ;     ~   ;6.25     ;     ~   ;B8Vn                 ; 143;   0
68  ;* zet Cas                          ;bC?;00 36 58.2844874846 +53 53 48.877599163;2.58     ;3.47     ;3.66     ;3.74     ;3.95     ;B2IV                 ; 470;   0
69  ;* mu. Cas                          ;SB*;01 08 16.3029454473 +54 55 12.561201263;5.93     ;5.86     ;5.17     ;4.55     ;4.13     ;G5Vb                 ; 594;   1
70  ;* 6 Per                            ;SB*;02 13 36.3431564393 +51 03 56.807950671;     ~   ;6.24     ;     ~   ;4.7      ;     ~   ;G8.5IIIbFe-2         ; 136;   0
71  ;* kap Per                          ;PM*;03 09 29.8036400506 +44 51 26.849828627;5.62     ;4.79     ;3.81     ;3.07     ;2.57     ;G9.5IIIb             ; 246;   0
72  ;HD 193322                          ;** ;20 18 06.98820 +40 43 55.5001          ;5.17     ;5.94     ;5.84     ;5.69     ;5.68     ;O9IV(n)+B1.5V        ; 285;   0
73  ;HD 195592                          ;s*b;20 30 34.9690901208 +44 18 54.859533372;7.75     ;7.95     ;7.08     ;6.29     ;5.60     ;O9.7Ia               ; 221;   1
