C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
1001;* 35 Peg                           ;PM*;22 27 51.5231162634 +04 41 44.404460456;6.74     ;5.86     ;4.80     ;4.02     ;3.46     ;K1-III-IV            ; 276;   0
1002;* 37 Peg                           ;** ;22 29 57.9368897784 +04 25 54.081797376;     ~   ;     ~   ;     ~   ;6.98     ;     ~   ;kA7hF3mF5(III)       ; 151;   0
1003;HD 214786                          ;PM*;22 40 27.2171806944 +04 34 30.054304776;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;G8/K0IV              ;  12;   0
1004;* bet Psc                          ;Be*;23 03 52.6132153632 +03 49 12.164302217;3.90     ;4.40     ;4.52     ;4.54     ;4.67     ;B6Ve                 ; 259;   0
1005;HD 218059                          ;PM*;23 05 00.1616943384 +04 13 31.435836996;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;F5V                  ;  60;   0
1006;* gam Psc                          ;PM*;23 17 09.9371132484 +03 16 56.245688417;5.20     ;4.62     ;3.70     ;2.98     ;2.47     ;G9III:Fe-2           ; 277;   0
1007;* 19 Psc                           ;C* ;23 46 23.5164473376 +03 29 12.519049272;10.95    ;7.62     ;5.02     ;3.19     ;1.82     ;C-N6                 ; 462;   0
1008;HD 3628                            ;PM*;00 39 13.2642083565 +03 08 02.129163830;     ~   ;7.969    ;7.339    ;6.9      ;     ~   ;G3V                  ; 134;   0
1009;HD 4628                            ;PM*;00 48 22.9759750919 +05 16 50.209484954;7.22     ;6.64     ;5.74     ;4.99     ;4.52     ;K2.5V                ; 545;   0
1010;* 112 Psc                          ;PM*;02 00 09.1595515021 +03 05 49.250440047;     ~   ;6.50     ;     ~   ;5.5      ;     ~   ;G2IV                 ; 182;   0
1011;HD 12536                           ;PM*;02 03 01.7150076648 +03 21 31.212328968;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;G2V                  ;  36;   0
1012;HD 15693                           ;PM*;02 31 31.5455724144 +03 26 19.956021900;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;K0III                ;  11;   0
1013;* gam Cet B                        ;PM*;02 43 17.972064 +03 14 11.30316        ;     ~   ;6.61     ;6.12     ;6.1      ;     ~   ;F4V                  ;  16;   0
1014;* gam Cet                          ;** ;02 43 18.03910 +03 14 08.9390          ;3.63     ;3.56     ;3.47     ;3.36     ;3.32     ;A2Vn+F4V             ; 185;   0
1015;* 4 Equ                            ;SB*;21 05 26.7036345960 +05 57 29.884406832;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;F8V                  ; 143;   0
1016;* nu. Peg                          ;PM*;22 05 40.7509642224 +05 03 30.708590796;8.08     ;6.28     ;4.84     ;3.77     ;3.01     ;K4III                ; 109;   0
1017;* tet Peg                          ;PM*;22 10 11.9886121211 +06 11 52.517717538;3.72     ;3.62     ;3.55     ;3.50     ;3.46     ;A1Va                 ; 194;   0
1018;* tet Psc                          ;PM*;23 27 58.0946643849 +06 22 44.372303191;6.41     ;5.38     ;4.30     ;3.50     ;2.97     ;K0.5III              ; 185;   0
1019;* iot Psc                          ;PM*;23 39 57.0406036160 +05 37 34.653911951;4.640    ;4.620    ;4.120    ;3.68     ;3.37     ;F7V                  ; 642;   0
1020;* ome Psc                          ;SB*;23 59 18.6902044464 +06 51 47.960421106;     ~   ;     ~   ;     ~   ;3.8      ;     ~   ;F4V                  ; 152;   0
1021;* del Psc                          ;PM*;00 48 40.9443145328 +07 35 06.294902124;7.83     ;5.95     ;4.44     ;3.27     ;2.40     ;K5-III               ; 196;   0
1022;* eps Psc                          ;PM*;01 02 56.6083833328 +07 53 24.479451631;5.95     ;5.24     ;4.28     ;3.50     ;2.98     ;G9IIIbFe-2           ; 170;   0
1023;* e Psc                            ;PM*;01 08 22.2134340672 +05 38 59.462502070;     ~   ;5.829    ;5.501    ;5.3      ;     ~   ;F2V                  ; 103;   0
1024;* zet Psc A                        ;PM*;01 13 43.8860023656 +07 34 31.295774820;     ~   ;5.45     ;5.19     ;5.0      ;     ~   ;A7IV                 ; 104;   0
1025;HD 8357                            ;XB*;01 22 56.7568636416 +07 25 09.332224320;8.530    ;8.160    ;     ~   ;6.8      ;     ~   ;G5                   ; 181;   0
1026;* mu. Psc                          ;PM*;01 30 11.1150260499 +06 08 37.758162354;7.75     ;6.22     ;4.84     ;3.78     ;3.04     ;K3III                ; 192;   0
1027;* nu. Psc                          ;*  ;01 41 25.8941428289 +05 29 15.401884416;7.36     ;5.81     ;4.44     ;3.38     ;2.67     ;K3III                ; 248;   0
1028;* sig Peg                          ;PM*;22 52 24.0744611045 +09 50 08.394417666;     ~   ;5.63     ;5.16     ;4.9      ;     ~   ;F6V                  ; 290;   0
1029;* rho Peg                          ;PM*;22 55 13.6688813304 +08 48 58.253256468;4.90     ;4.90     ;4.90     ;4.86     ;4.88     ;A1V                  ; 124;   0
1030;V* R Peg                           ;Mi*;23 06 39.1661885712 +10 32 36.080828808;9.43     ;9.07     ;7.79     ;4.87     ;2.35     ;M6-8.5e              ; 238;   0
1031;* 55 Peg                           ;*  ;23 07 00.2607332832 +09 24 34.173822996;8.020    ;6.080    ;4.520    ;3.25     ;2.23     ;M1IIIab              ; 148;   0
1032;HD 220773                          ;PM*;23 26 27.4448301552 +08 38 37.841644968;     ~   ;     ~   ;     ~   ;6.97     ;     ~   ;G0                   ;  79;   1
1033;HD 2454                            ;SB*;00 28 20.0424818616 +10 11 23.297664120;     ~   ;6.47     ;     ~   ;5.8      ;     ~   ;F5VSr                ; 187;   0
1034;HD 3088                            ;PM*;00 34 10.7951583816 +10 17 57.120308700;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;G5                   ;  15;   0
1035;HD 3861                            ;PM*;00 41 11.8740924504 +09 21 18.207286416;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;F8V                  ;  71;   0
1036;HD 7047                            ;PM*;01 10 54.2828824320 +09 33 50.058219708;     ~   ;7.80     ;     ~   ;6.8      ;     ~   ;G0                   ;  73;   0
1037;* omi Psc                          ;PM*;01 45 23.6252151720 +09 09 27.902640312;5.90     ;5.22     ;4.26     ;3.53     ;3.04     ;G8III                ; 174;   0
1038;* ksi01 Cet                        ;SB*;02 13 00.0003185160 +08 50 48.128462340;5.86     ;5.23     ;4.35     ;3.68     ;3.18     ;G7IIIBa0.4Fe-1       ; 222;   1
1039;* 64 Cet                           ;PM*;02 11 21.0787585632 +08 34 11.305868808;     ~   ;6.189    ;5.623    ;6.81     ;     ~   ;G0IV                 ; 129;   0
1040;* ksi02 Cet                        ;*  ;02 28 09.5570589539 +08 27 36.216809306;4.14     ;4.25     ;4.30     ;4.29     ;4.34     ;B9III                ; 352;   0
1041;HD 16160                           ;PM*;02 36 04.9013368983 +06 53 12.383654295;     ~   ;6.81     ;     ~   ;5.2      ;     ~   ;K3V                  ; 584;   0
1042;* gam Equ                          ;a2*;21 10 20.5000721160 +10 07 53.691967776;5.03     ;4.94     ;4.68     ;4.43     ;4.32     ;A9VpSrCrEu           ; 564;   0
1043;* del Equ                          ;SB*;21 14 28.8153077 +10 00 25.125878      ;4.98     ;4.99     ;4.49     ;4.06     ;3.78     ;F7(V)+G0(V)          ; 331;   0
1044;* eps Peg                          ;LP*;21 44 11.1561394 +09 52 30.031152      ;5.61     ;3.91     ;2.39     ;1.34     ;0.58     ;K2Ib-II              ; 464;   1
1045;* 31 Peg                           ;Be*;22 21 31.0751048 +12 12 18.662815      ;4.08     ;4.89     ;4.99     ;5.06     ;5.20     ;B3III                ; 227;   0
1046;HD 212989                          ;** ;22 28 07.3602414462 +12 14 55.643313187;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;K0V                  ;  56;   0
1047;* 42 Peg                           ;PM*;22 41 27.7207176 +10 49 52.907917      ;3.10     ;3.33     ;3.41     ;3.43     ;3.50     ;B8.5IV               ; 320;   0
1048;HD 215243                          ;SB*;22 43 42.7099316856 +10 56 21.678440712;7.000    ;6.990    ;     ~   ;6.2      ;     ~   ;G8IV                 ;  68;   0
1049;* ksi Peg                          ;PM*;22 46 41.5798542334 +12 10 22.388860108;4.66     ;4.69     ;4.20     ;3.73     ;3.42     ;F6V                  ; 407;   0
1050;* 66 Peg                           ;*  ;23 23 04.5677946672 +12 18 50.076368928;     ~   ;6.406    ;5.081    ;6.62     ;     ~   ;K3III                ;  81;   0
1051;* 70 Peg                           ;SB*;23 29 09.2992398120 +12 45 37.979571348;6.24     ;5.50     ;4.56     ;3.82     ;3.37     ;G8IIIa               ; 159;   0
1052;HD 2816                            ;PM*;00 31 41.4643042560 +12 54 48.611248632;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;K0                   ;  31;   0
1053;HD 3268                            ;PM*;00 35 54.8017196664 +13 12 25.451468496;     ~   ;6.93     ;     ~   ;6.0      ;     ~   ;F7V                  ; 104;   0
1054;HD 11592                           ;PM*;01 53 57.6820221059 +10 36 50.490634992;     ~   ;7.24     ;     ~   ;6.5      ;     ~   ;F6                   ;  95;   0
1055;* 25 Ari                           ;PM*;02 27 23.3897029266 +10 11 53.966831267;     ~   ;6.95     ;     ~   ;6.2      ;     ~   ;F5V                  ;  61;   0
1056;* lam Cet                          ;*  ;02 59 42.8925388548 +08 54 26.589196584;4.13     ;4.58     ;4.70     ;4.72     ;4.70     ;B6III                ; 105;   0
1057;HD 211476                          ;PM*;22 17 15.1410212093 +12 53 54.566432145;     ~   ;7.64     ;     ~   ;6.7      ;     ~   ;G2                   ; 110;   0
1058;HD 214850                          ;** ;22 40 52.68164 +14 32 56.9765          ;     ~   ;     ~   ;     ~   ;6.76     ;     ~   ;G4V                  ; 209;   0
1059;* alf Peg                          ;PM*;23 04 45.65345 +15 12 18.9617          ;2.38     ;2.44     ;2.48     ;2.47     ;2.50     ;A0IV                 ; 367;   0
1060;HD 218133                          ;PM*;23 05 31.1563098259 +14 27 06.022021805;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;G0                   ;  61;   0
1061;* gam Peg                          ;bC*;00 13 14.1523490172 +15 11 00.954346538;1.75     ;2.61     ;2.84     ;2.94     ;3.13     ;B2IV                 ; 720;   0
1062;* 39 Psc                           ;PM*;00 17 49.9818930936 +16 19 51.650777064;     ~   ;7.68     ;     ~   ;6.9      ;     ~   ;F6V                  ;  58;   0
1063;* eta Psc                          ;** ;01 31 29.0081880156 +15 20 44.994632991;5.320    ;4.600    ;3.620    ;2.90     ;2.40     ;G7IIIa               ; 255;   0
1064;HD 12479                           ;*  ;02 02 35.0770111680 +13 28 36.195228084;9.36     ;7.53     ;5.94     ;6.911    ;     ~   ;M2III                ;  60;   0
1065;HD 14278                           ;PM*;02 18 52.1763372048 +12 59 32.192858760;     ~   ;     ~   ;     ~   ;6.1      ;     ~   ;G5                   ;  16;   0
1066;* 31 Ari                           ;** ;02 36 37.9189326576 +12 26 51.474379704;     ~   ;6.14     ;5.64     ;5.3      ;     ~   ;F7V                  ; 144;   0
1067;* 38 Ari                           ;dS*;02 44 57.5814331776 +12 26 44.721863052;     ~   ;5.39     ;5.17     ;5.1      ;     ~   ;A7III                ; 134;   0
1068;V* HN Peg                          ;BY*;21 44 31.3299461136 +14 46 18.983292600;     ~   ;     ~   ;     ~   ;6.16     ;     ~   ;G0V+                 ; 561;   0
1069;HD 218101                          ;PM*;23 05 06.2917005960 +16 33 46.233983232;     ~   ;7.27     ;     ~   ;5.9      ;     ~   ;G8IV                 ;  83;   0
1070;HD 218235                          ;PM*;23 06 18.1409322336 +18 31 03.956259072;     ~   ;6.57     ;     ~   ;5.9      ;     ~   ;F6Vs                 ; 108;   0
1071;HD 221627                          ;PM*;23 33 34.7962511784 +17 49 07.786041204;7.680    ;7.450    ;     ~   ;6.4      ;     ~   ;G1IV                 ;  48;   0
1072;* 47 Psc                           ;LP*;00 28 02.9147612952 +17 53 35.257375248;8.53     ;6.71     ;5.06     ;3.32     ;1.78     ;M3III                ; 111;   0
1073;* 64 Psc                           ;SB*;00 48 58.7075574408 +16 56 26.324381004;     ~   ;5.58     ;     ~   ;4.8      ;     ~   ;F8V                  ; 149;   0
1074;HD 9312                            ;SB*;01 32 03.1265727706 +16 56 50.022287787;     ~   ;7.75     ;6.77     ;6.2      ;     ~   ;G5                   ;  57;   0
1075;HD 9780                            ;PM*;01 35 54.7568246352 +17 26 01.825265004;6.260    ;6.170    ;     ~   ;5.8      ;     ~   ;F0IV                 ;  47;   0
1076;* 19 Ari                           ;PM*;02 13 03.3041812296 +15 16 47.507088540;9.20     ;7.25     ;5.70     ;4.48     ;3.50     ;M0III                ;  78;   0
1077;* 9 Peg                            ;*  ;21 44 30.6958020785 +17 21 00.062899998;6.48     ;5.52     ;4.35     ;3.53     ;2.98     ;G5Ib                 ; 274;   0
1078;* 39 Peg                           ;gD*;22 32 35.4807389712 +20 13 48.075873816;6.770    ;6.770    ;     ~   ;6.2      ;     ~   ;F1V                  ;  79;   0
1079;HD 216625                          ;PM*;22 54 07.4089018128 +19 53 31.381474488;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;F8                   ;  60;   0
1080;HD 217813                          ;BY*;23 03 04.9769970864 +20 55 06.864848184;7.364    ;7.249    ;6.616    ;6.279    ;5.948    ;G1V                  ; 123;   0
1081;* 51 Peg                           ;PM*;22 57 27.9804852576 +20 46 07.797040104;6.39     ;6.16     ;5.46     ;4.97     ;4.61     ;G2IV                 ;1216;   1
1082;HD 218261                          ;PM*;23 06 31.8853045584 +19 54 39.072222792;     ~   ;6.79     ;     ~   ;6.1      ;     ~   ;F6V                  ; 112;   0
1083;* chi Peg                          ;PM*;00 14 36.1642825005 +20 12 24.130377664;8.280    ;6.380    ;4.800    ;3.45     ;2.32     ;M2+III               ; 197;   0
1084;* 54 Psc                           ;PM*;00 39 21.8053928046 +21 15 01.712899720;7.29     ;6.71     ;5.88     ;5.21     ;4.82     ;K0.5V                ; 630;   1
1085;* 61 Psc                           ;PM*;00 47 54.8276045136 +20 55 31.242238356;     ~   ;7.04     ;     ~   ;6.2      ;     ~   ;F8V                  ;  59;   0
1086;HD 8262                            ;PM*;01 22 17.8775669529 +18 40 57.747513391;     ~   ;7.58     ;     ~   ;6.6      ;     ~   ;G2V                  ; 105;   0
1087;* 107 Psc                          ;PM*;01 42 29.7625251280 +20 16 06.645657710;6.57     ;6.08     ;5.24     ;4.55     ;4.12     ;K1V                  ; 595;   0
1088;* gam01 Ari                        ;PM*;01 53 31.8192032943 +19 17 45.430793660;     ~   ;4.558    ;4.589    ;6.71     ;     ~   ;A0Vnp_lB             ;  85;   0
1089;HD 13201                           ;PM*;02 09 23.1123399528 +17 13 27.118919964;6.770    ;6.830    ;     ~   ;6.2      ;     ~   ;F5V                  ;  63;   0
1090;HD 17973                           ;No*;02 53 38.4814287600 +14 40 12.916420212;     ~   ;8.4      ;7.56     ;6.7      ;     ~   ;~                    ;  19;   0
1091;HD 18144                           ;PM*;02 55 17.4058671072 +16 18 33.085020708;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;G8V                  ;  62;   0
1092;HD 201891                          ;Pe*;21 11 59.0321495469 +17 43 39.890919730;7.74     ;7.88     ;7.37     ;6.91     ;6.59     ;G5V_Fe-2.5           ; 410;   0
1093;* 33 Peg                           ;** ;22 23 39.5646960208 +20 50 53.839403909;6.690    ;6.690    ;     ~   ;5.9      ;     ~   ;F7IV                 ;  57;   0
1094;* lam Peg                          ;PM*;22 46 31.8779099972 +23 33 56.361958743;5.93     ;5.00     ;3.93     ;3.16     ;2.66     ;G8IIIaCN0.5          ; 177;   0
1095;* ups Peg                          ;PM*;23 25 22.7828725585 +23 24 14.762916815;5.15     ;5.01     ;4.40     ;3.86     ;3.54     ;F8III                ; 263;   0
1096;* psi Peg                          ;** ;23 57 45.5265520335 +25 08 29.058895098;7.91     ;6.25     ;4.66     ;3.20     ;1.86     ;M3III                ; 131;   0
1097;* zet And                          ;El*;00 47 20.3257188471 +24 16 01.842781713;6.05     ;5.18     ;4.06     ;3.21     ;2.62     ;K1III+KV             ; 299;   0
1098;* 36 And                           ;** ;00 54 58.10609 +23 37 41.9799          ;7.37     ;6.46     ;5.45     ;4.67     ;4.17     ;K0IV(e)              ; 192;   0
1099;* eta And                          ;SB*;00 57 12.4002792266 +23 25 03.540083245;6.05     ;5.36     ;4.42     ;3.69     ;3.21     ;G8-III               ; 199;   0
1100;* bet Ari                          ;SB*;01 54 38.41099 +20 48 28.9133          ;2.88     ;2.78     ;2.65     ;2.51     ;2.43     ;kA4hA5mA5Va          ; 426;   1
1101;V* AZ Ari                          ;BY*;02 11 23.1478126920 +21 22 38.441235504;     ~   ;8.025    ;     ~   ;6.9      ;     ~   ;G5V                  ;  81;   0
1102;* eta Ari                          ;PM*;02 12 48.0856782200 +21 12 39.577562642;     ~   ;     ~   ;     ~   ;5.0      ;     ~   ;F5V                  ; 199;   0
1103;HD 17659                           ;PM*;02 50 42.6075376080 +19 09 37.717969644;     ~   ;     ~   ;     ~   ;6.3      ;     ~   ;F8                   ;  42;   0
1104;* rho02 Ari                        ;LP*;02 55 48.4979998 +18 19 53.902936      ;8.56     ;7.44     ;5.93     ;3.51     ;1.34     ;M6-III:              ; 232;   0
1105;* rho Ari                          ;PM*;02 56 26.1717266513 +18 01 23.665188613;     ~   ;6.02     ;5.58     ;5.3      ;     ~   ;F6V                  ; 167;   0
1106;* mu. Peg                          ;PM*;22 50 00.1930748087 +24 36 05.692620534;5.10     ;4.42     ;3.48     ;2.80     ;2.33     ;G8+III               ; 304;   0
1107;* 60 Peg                           ;PM*;23 11 49.1895303744 +26 50 50.357436828;     ~   ;7.11     ;     ~   ;5.6      ;     ~   ;G8III-IV             ;  67;   0
1108;* 56 Peg                           ;SB*;23 07 06.7418870416 +25 28 05.773861158;7.20     ;6.06     ;4.74     ;3.74     ;3.07     ;K0.5II:Ba1CN-2CH-0.5 ; 270;   0
1109;V* W Peg                           ;Mi*;23 19 50.5014315096 +26 16 43.665640932;     ~   ;10.69    ;7.60     ;6.45     ;     ~   ;M6.5-7.5e            ; 126;   0
1110;HD 225276                          ;PM*;00 04 55.9990035480 +26 38 55.575204864;     ~   ;7.65     ;6.25     ;6.04     ;     ~   ;K4IIIb               ;  32;   0
1111;* 85 Peg                           ;SB*;00 02 10.3487193861 +27 04 54.599101714;6.47     ;6.42     ;5.75     ;5.16     ;4.73     ;G5VbFe-2             ; 569;   0
1112;* phi Psc                          ;SB*;01 13 44.9460564960 +24 35 01.311416628;6.57     ;5.69     ;4.66     ;3.91     ;3.39     ;K0III                ; 106;   0
1113;HD 9939                            ;SB*;01 37 25.0949873184 +25 10 03.970247664;     ~   ;7.92     ;7.00     ;6.4      ;     ~   ;K0                   ;  56;   0
1114;HD 12846                           ;PM*;02 06 30.2435726136 +24 20 02.371269372;7.672    ;7.542    ;6.885    ;6.551    ;6.181    ;G2V                  ; 126;   0
1115;* alf Ari                          ;PM*;02 07 10.40570 +23 27 44.7032          ;4.29     ;3.17     ;2.01     ;1.15     ;0.54     ;K2-IIIbCa-1          ; 644;   2
1116;* 47 Ari                           ;PM*;02 58 05.2213070040 +20 40 07.442238720;     ~   ;6.230    ;     ~   ;5.6      ;     ~   ;F0V(e)               ; 201;   0
1117;* 34 Vul                           ;PM*;21 21 04.3938814104 +23 51 21.486740544;     ~   ;6.62     ;     ~   ;4.9      ;     ~   ;K0III                ; 131;   0
1118;HD 207134                          ;PM*;21 46 23.9495076720 +25 33 48.621084480;     ~   ;     ~   ;     ~   ;5.5      ;     ~   ;K2III                ;  54;   0
1119;* iot Peg                          ;SB*;22 07 00.6655101792 +25 20 42.356386464;4.190    ;4.200    ;3.770    ;3.36     ;3.11     ;F5V                  ; 468;   1
1120;* 32 Peg                           ;** ;22 21 19.3389504648 +28 19 49.906861392;4.62     ;4.81     ;4.81     ;4.72     ;4.73     ;B9III                ; 104;   0
1121;* omi Peg                          ;*  ;22 41 45.4041684504 +29 18 27.631023336;4.77     ;4.78     ;4.79     ;4.75     ;4.77     ;A1IV                 ; 296;   0
1122;* bet Peg                          ;LP*;23 03 46.45746 +28 04 58.0336          ;6.05     ;4.09     ;2.42     ;0.92     ;-0.40    ;M2.5II-III           ; 606;   1
1123;HD 222033                          ;PM*;23 37 06.6299618928 +30 40 40.891179180;     ~   ;7.81     ;     ~   ;6.8      ;     ~   ;G0V                  ;  56;   0
1124;V* KT Peg                          ;RS*;23 39 30.9712062189 +28 14 47.415889813;     ~   ;7.71     ;     ~   ;6.6      ;     ~   ;G8                   ; 102;   0
1125;HD 224085                          ;RS*;23 55 04.0520383542 +28 38 01.245426862;8.88     ;8.20     ;     ~   ;6.9      ;     ~   ;K2+IVeFe-1           ; 757;   0
1126;* alf And                          ;a2*;00 08 23.25988 +29 05 25.5520          ;1.48     ;1.95     ;2.06     ;2.09     ;2.19     ;B8IV-VHgMn           ; 479;   1
1127;HD 166                             ;BY*;00 06 36.7840068588 +29 01 17.412693890;     ~   ;6.82     ;6.07     ;5.6      ;     ~   ;G8V                  ; 393;   0
1128;HD 2942                            ;*  ;00 32 49.0860906288 +28 16 48.867236220;8.12     ;7.32     ;6.33     ;5.61     ;5.09     ;G8III                ;  50;   0
1129;* eps And                          ;PM*;00 38 33.3474310042 +29 18 42.311618884;5.72     ;5.25     ;4.38     ;3.70     ;3.19     ;G7IIIFe-3CH1         ; 286;   0
1130;* 65 Psc B                         ;PM*;00 49 52.8738026040 +27 42 38.911000608;5.990    ;6.69     ;6.28     ;6.12     ;     ~   ;F4III                ;  58;   0
1131;* 65 Psc A                         ;PM*;00 49 53.1664217465 +27 42 37.037441270;     ~   ;6.64     ;6.29     ;6.27     ;     ~   ;F5III                ;  52;   0
1132;HD 8574                            ;PM*;01 25 12.5157281952 +28 34 00.103021788;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;F8                   ; 170;   1
1133;HD 13825                           ;PM*;02 15 24.4135577400 +24 16 16.631716761;     ~   ;7.50     ;     ~   ;6.4      ;     ~   ;G5IV-V               ;  94;   0
1134;* 20 Ari                           ;PM*;02 15 46.0497447336 +25 46 58.578118716;     ~   ;     ~   ;     ~   ;5.5      ;     ~   ;F6III-IV             ;  81;   0
1135;* eps Ari                          ;** ;02 59 12.72536 +21 20 25.5575          ;4.75     ;4.67     ;4.63     ;4.58     ;4.56     ;A2IV+A3IVs           ;  46;   0
1136;* mu.02 Cyg                        ;PM*;21 44 08.461753 +28 44 34.45411        ;     ~   ;6.67     ;6.12     ;5.6      ;     ~   ;F3V                  ;  92;   0
1137;* mu.01 Cyg                        ;PM*;21 44 08.5783311997 +28 44 33.467502529;5.01     ;5.14     ;4.70     ;4.13     ;3.85     ;F7V                  ; 166;   0
1138;* mu. Cyg                          ;** ;21 44 08.5776715592 +28 44 33.456730506;     ~   ;     ~   ;     ~   ;5.99     ;     ~   ;F6V+F3V              ; 120;   0
1139;HD 208174                          ;SB*;21 53 54.6844256064 +28 20 30.913229069;7.110    ;7.020    ;     ~   ;6.6      ;     ~   ;A2                   ;  35;   0
1140;HD 208906                          ;PM*;21 58 40.8320586106 +29 48 45.462564846;7.35     ;7.47     ;6.96     ;6.53     ;6.22     ;G0VmF2               ; 182;   0
1141;HD 211460                          ;PM*;22 16 41.0153389152 +29 10 23.707421724;     ~   ;     ~   ;     ~   ;6.1      ;     ~   ;G5IV                 ;  20;   0
1142;* eta Peg                          ;SB*;22 43 00.1288449480 +30 13 16.372969392;4.38     ;3.81     ;2.95     ;2.31     ;1.83     ;G8II+F0V             ; 208;   0
1143;HD 215549                          ;PM*;22 45 34.4679063885 +30 26 33.206620893;     ~   ;7.30     ;     ~   ;5.8      ;     ~   ;G9V                  ;  58;   0
1144;HD 220460                          ;SB*;23 23 47.5406173296 +32 31 52.702117932;     ~   ;7.14     ;     ~   ;6.4      ;     ~   ;F6V                  ;  64;   0
1145;HD 221830                          ;PM*;23 35 28.8941578040 +31 01 01.830647333;     ~   ;7.45     ;     ~   ;6.5      ;     ~   ;G2                   ; 176;   0
1146;BD+32 4747                         ;** ;23 59 29.29215 +33 43 25.8887          ;     ~   ;     ~   ;     ~   ;6.76     ;     ~   ;G8+G1                ;  64;   0
1147;* del And                          ;SB*;00 39 19.6031132231 +30 51 39.540873571;6.04     ;4.56     ;3.28     ;2.36     ;1.70     ;K3III-IIIbCN0.5      ; 340;   0
1148;HD 5750                            ;PM*;00 59 35.8209201690 +32 29 31.606198576;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;F5                   ;  53;   0
1149;* 78 Psc                           ;PM*;01 08 01.3436357736 +32 00 43.665847416;     ~   ;6.65     ;     ~   ;6.0      ;     ~   ;F5IV                 ;  77;   0
1150;HD 9224                            ;PM*;01 31 19.5247686600 +29 24 47.125240452;     ~   ;7.90     ;     ~   ;6.9      ;     ~   ;G0V                  ;  57;   0
1151;* alf Tri                          ;SB*;01 53 04.9054187154 +29 34 43.747211027;3.96     ;3.90     ;3.42     ;3.00     ;2.72     ;F5III                ; 299;   0
1152;HD 13747                           ;PM*;02 14 37.9805626944 +28 41 28.262837544;     ~   ;     ~   ;     ~   ;5.8      ;     ~   ;K1III                ;  37;   0
1153;* pi. Peg                          ;RG*;22 09 59.2430193207 +33 10 41.600399246;4.93     ;4.75     ;4.29     ;3.90     ;3.63     ;F5II-III_sh          ; 140;   0
1154;HD 225239                          ;SB*;00 04 53.7246874433 +34 39 34.801234025;6.82     ;6.74     ;6.11     ;5.56     ;5.18     ;G3                   ; 192;   0
1155;* pi. And                          ;SB*;00 36 52.8513216207 +33 43 09.636294654;3.65     ;4.20     ;4.36     ;4.40     ;4.52     ;B5V                  ; 209;   0
1156;HD 8673                            ;PM*;01 26 08.7863698584 +34 34 46.931774304;     ~   ;6.82     ;6.34     ;6.1      ;     ~   ;F7V                  ; 128;   1
1157;HD 8774                            ;PM*;01 27 06.3287202600 +34 22 39.189763812;     ~   ;     ~   ;     ~   ;6.0      ;     ~   ;F7IVsv               ;  63;   0
1158;HD 8375                            ;SB*;01 23 37.4712559656 +34 14 45.114766152;     ~   ;7.13     ;6.28     ;5.8      ;     ~   ;G8IV                 ;  80;   0
1159;HD 11007                           ;PM*;01 48 41.5626898078 +32 41 24.752122242;     ~   ;6.34     ;     ~   ;5.4      ;     ~   ;F8V                  ; 140;   0
1160;* 35 Ari                           ;SB*;02 43 27.1142794560 +27 42 25.737873444;3.91     ;4.54     ;4.67     ;4.69     ;4.82     ;B3V                  ; 183;   0
1161;* zet Cyg                          ;SB*;21 12 56.1859894833 +30 13 36.835250232;4.96     ;4.20     ;3.21     ;2.52     ;2.04     ;G8+III-IIIaBa0.5     ; 353;   0
1162;HD 204485                          ;PM*;21 28 08.2507924080 +32 13 31.192899420;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;F0V                  ;  56;   0
1163;HD 222451                          ;PM*;23 40 40.6358548488 +36 43 14.758053456;     ~   ;6.62     ;     ~   ;6.0      ;     ~   ;F1V                  ;  89;   0
1164;HD 223848                          ;PM*;23 52 56.2226833488 +36 57 15.318854316;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;G0                   ;  53;   0
1165;HD 400                             ;PM*;00 08 40.9385785968 +36 37 37.652234016;     ~   ;     ~   ;     ~   ;5.9      ;     ~   ;F8IV                 ; 173;   0
1166;* tet And                          ;** ;00 17 05.5023632446 +38 40 53.888625622;4.72     ;4.67     ;4.61     ;4.53     ;4.52     ;A2V                  ; 184;   0
