C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
49  ;* ksi Cas                          ;SB*;00 42 03.8922075864 +50 30 45.120403944;  16.126 -6.050     ;2.9022    ;-10.0      ;-0.000033   ;-10.00     ;4.05     ;4.71     ;4.81     ;4.82     ;4.94     ;B3IV                 
50  ;HD 9901                            ;** ;01 37 44.5061530704 +48 24 45.973985868;  146.569 9.420     ;13.7301   ;5.18       ;0.000017    ;5.18       ;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F5                   
51  ;* ups Per                          ;PM*;01 37 59.5580239328 +48 37 41.563066970;62.968 -111.999     ;18.5489   ;16.264     ;0.000054    ;16.26      ;6.29     ;4.85     ;3.57     ;2.61     ;1.96     ;K3-IIICN0.5          
52  ;HD 17922                           ;SB*;02 54 14.1100760640 +42 35 19.626549792;207.616 -81.992     ;33.5133   ;24.74      ;0.000083    ;24.74      ;     ~   ;7.398    ;     ~   ;6.6      ;     ~   ;F5                   
53  ;* bet Per                          ;SB*;03 08 10.1324535 +40 57 20.328013      ;     2.99 -1.66     ;36.27     ;4.0        ;0.000013    ;4.00       ;1.70     ;2.07     ;2.12     ;2.08     ;2.11     ;B8V                  
54  ;HD 194279                          ;s*b;20 23 18.1647782064 +40 45 32.598481500;  -3.425 -5.515     ;0.5223    ;-31.3      ;-0.000104   ;-31.30     ;8.01     ;8.04     ;7.01     ;5.98     ;5.17     ;B2Ia                 
55  ;V* RW Cyg                          ;s*r;20 28 50.5903286280 +39 58 54.425527932;  -3.304 -6.021     ;0.5766    ;-18.39     ;-0.000061   ;-18.39     ;13.00    ;10.60    ;8.00     ;5.32     ;3.25     ;M3-M4Ia-Iab          
56  ;* gam Cyg                          ;*  ;20 22 13.7018357 +40 15 24.044963      ;     2.39 -0.91     ;1.78      ;-5.906     ;-0.000020   ;-5.91      ;3.44     ;2.90     ;2.23     ;1.74     ;1.40     ;F8Ib                 
57  ;HD 196789                          ;PM*;20 37 58.9031663640 +42 50 44.296514556; 89.273 172.012     ;16.4694   ;1.644      ;0.000005    ;1.64       ;     ~   ;7.52     ;     ~   ;6.7      ;     ~   ;F8                   
58  ;HD 197037                          ;PM*;20 39 32.9599353024 +42 14 54.778250868;-62.745 -222.168    ;30.2286   ;9.09       ;0.000030    ;9.09       ;     ~   ;     ~   ;     ~   ;6.61     ;     ~   ;G0                   
59  ;HD 195987                          ;SB*;20 32 51.6420701971 +41 53 54.550572462;-157.008 451.827    ;45.7485   ;-5.84      ;-0.000019   ;-5.84      ;     ~   ;7.89     ;     ~   ;6.6      ;     ~   ;G9V                  
60  ;* 56 Cyg                           ;PM*;20 50 04.9316531664 +44 03 33.491559024;123.197 132.062     ;24.2284   ;-22.99     ;-0.000077   ;-22.99     ;     ~   ;     ~   ;     ~   ;4.9      ;     ~   ;A6V                  
61  ;* 57 Cyg                           ;SB*;20 53 14.7587928897 +44 23 14.147866955;    9.719 2.191     ;5.8088    ;-19.5      ;-0.000065   ;-19.50     ;4.05     ;4.63     ;4.77     ;4.84     ;4.97     ;B5V                  
62  ;V* V1981 Cyg                       ;LP*;21 02 24.1997590656 +44 47 27.525392304;  -5.914 -4.560     ;2.6129    ;0.96       ;0.000003    ;0.96       ;9.73     ;7.90     ;6.23     ;4.46     ;2.90     ;M4.5III              
63  ;HD 199956                          ;*  ;20 58 55.6412825304 +44 03 37.623930840;  18.999 16.548     ;4.4498    ;-23.39     ;-0.000078   ;-23.39     ;     ~   ;7.709    ;6.638    ;5.98     ;5.66     ;K0.5III              
