C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
1134;* 20 Ari                           ;PM*;02 15 46.0497447336 +25 46 58.578118716;176.818 -65.175     ;24.352    ;25.586     ;0.000085    ;25.59      ;     ~   ;     ~   ;     ~   ;5.5      ;     ~   ;F6III-IV             
1135;* eps Ari                          ;** ;02 59 12.72536 +21 20 25.5575          ;   -13.74 -5.12     ;9.81      ;0.90       ;0.000003    ;0.90       ;4.75     ;4.67     ;4.63     ;4.58     ;4.56     ;A2IV+A3IVs           
1136;* mu.02 Cyg                        ;PM*;21 44 08.461753 +28 44 34.45411        ;   277.4 -251.1     ;      ~   ;16.5       ;0.000055    ;16.50      ;     ~   ;6.67     ;6.12     ;5.6      ;     ~   ;F3V                  
1137;* mu.01 Cyg                        ;PM*;21 44 08.5783311997 +28 44 33.467502529;256.452 -239.685    ;45.1560   ;18.0       ;0.000060    ;18.00      ;5.01     ;5.14     ;4.70     ;4.13     ;3.85     ;F7V                  
1138;* mu. Cyg                          ;** ;21 44 08.5776715592 +28 44 33.456730506;257.012 -239.009    ;45.2207   ;16.95      ;0.000057    ;16.95      ;     ~   ;     ~   ;     ~   ;5.99     ;     ~   ;F6V+F3V              
1139;HD 208174                          ;SB*;21 53 54.6844256064 +28 20 30.913229069;-162.094 -112.134   ;9.0154    ;-7.0       ;-0.000023   ;-7.00      ;7.110    ;7.020    ;     ~   ;6.6      ;     ~   ;A2                   
1140;HD 208906                          ;PM*;21 58 40.8320586106 +29 48 45.462564846;-362.870 -386.728   ;34.1910   ;9.104      ;0.000030    ;9.10       ;7.35     ;7.47     ;6.96     ;6.53     ;6.22     ;G0VmF2               
1141;HD 211460                          ;PM*;22 16 41.0153389152 +29 10 23.707421724; 155.101 22.317     ;5.6793    ;-38.5      ;-0.000128   ;-38.50     ;     ~   ;     ~   ;     ~   ;6.1      ;     ~   ;G5IV                 
1142;* eta Peg                          ;SB*;22 43 00.1288449480 +30 13 16.372969392; 19.957 -18.971     ;16.6308   ;4.17       ;0.000014    ;4.17       ;4.38     ;3.81     ;2.95     ;2.31     ;1.83     ;G8II+F0V             
1143;HD 215549                          ;PM*;22 45 34.4679063885 +30 26 33.206620893;-251.811 -349.494   ;16.8108   ;-2.09      ;-0.000007   ;-2.09      ;     ~   ;7.30     ;     ~   ;5.8      ;     ~   ;G9V                  
1144;HD 220460                          ;SB*;23 23 47.5406173296 +32 31 52.702117932; 235.220 36.245     ;15.0601   ;11.90      ;0.000040    ;11.90      ;     ~   ;7.14     ;     ~   ;6.4      ;     ~   ;F6V                  
1145;HD 221830                          ;PM*;23 35 28.8941578040 +31 01 01.830647333;540.206 254.290     ;30.1162   ;-112.284   ;-0.000374   ;-112.26    ;     ~   ;7.45     ;     ~   ;6.5      ;     ~   ;G2                   
1146;BD+32 4747                         ;** ;23 59 29.29215 +33 43 25.8887          ; -59.68 -113.19     ;34.57     ;-7.90      ;-0.000026   ;-7.90      ;     ~   ;     ~   ;     ~   ;6.76     ;     ~   ;G8+G1                
1147;* del And                          ;SB*;00 39 19.6031132231 +30 51 39.540873571;176.856 -108.171    ;31.5735   ;-9.88      ;-0.000033   ;-9.88      ;6.04     ;4.56     ;3.28     ;2.36     ;1.70     ;K3III-IIIbCN0.5      
1148;HD 5750                            ;PM*;00 59 35.8209201690 +32 29 31.606198576;346.677 -40.658     ;23.9532   ;22.9       ;0.000076    ;22.90      ;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;F5                   
1149;* 78 Psc                           ;PM*;01 08 01.3436357736 +32 00 43.665847416;202.430 -24.456     ;23.3087   ;14.0       ;0.000047    ;14.00      ;     ~   ;6.65     ;     ~   ;6.0      ;     ~   ;F5IV                 
1150;HD 9224                            ;PM*;01 31 19.5247686600 +29 24 47.125240452;178.121 -87.690     ;23.0041   ;14.952     ;0.000050    ;14.95      ;     ~   ;7.90     ;     ~   ;6.9      ;     ~   ;G0V                  
1151;* alf Tri                          ;SB*;01 53 04.9054187154 +29 34 43.747211027;12.341 -233.040     ;51.3310   ;-12.6      ;-0.000042   ;-12.60     ;3.96     ;3.90     ;3.42     ;3.00     ;2.72     ;F5III                
1152;HD 13747                           ;PM*;02 14 37.9805626944 +28 41 28.262837544;159.195 -101.464    ;15.3862   ;18.70      ;0.000062    ;18.70      ;     ~   ;     ~   ;     ~   ;5.8      ;     ~   ;K1III                
1153;* pi. Peg                          ;RG*;22 09 59.2430193207 +33 10 41.600399246;-12.123 -20.395     ;11.1990   ;10.55      ;0.000035    ;10.55      ;4.93     ;4.75     ;4.29     ;3.90     ;3.63     ;F5II-III_sh          
1154;HD 225239                          ;SB*;00 04 53.7246874433 +34 39 34.801234025;795.983 121.538     ;28.2831   ;3.566      ;0.000012    ;3.57       ;6.82     ;6.74     ;6.11     ;5.56     ;5.18     ;G3                   
1155;* pi. And                          ;SB*;00 36 52.8513216207 +33 43 09.636294654;  14.669 -3.385     ;5.6563    ;8.20       ;0.000027    ;8.20       ;3.65     ;4.20     ;4.36     ;4.40     ;4.52     ;B5V                  
1156;HD 8673                            ;PM*;01 26 08.7863698584 +34 34 46.931774304;236.271 -84.632     ;26.2036   ;19.20      ;0.000064    ;19.20      ;     ~   ;6.82     ;6.34     ;6.1      ;     ~   ;F7V                  
1157;HD 8774                            ;PM*;01 27 06.3287202600 +34 22 39.189763812;163.904 -10.960     ;23.7807   ;13.18      ;0.000044    ;13.18      ;     ~   ;     ~   ;     ~   ;6.0      ;     ~   ;F7IVsv               
1158;HD 8375                            ;SB*;01 23 37.4712559656 +34 14 45.114766152;244.724 123.359     ;18.0574   ;13.024100  ;0.000043    ;13.02      ;     ~   ;7.13     ;6.28     ;5.8      ;     ~   ;G8IV                 
1159;HD 11007                           ;PM*;01 48 41.5626898078 +32 41 24.752122242;-167.798 296.869    ;36.0886   ;-24.451    ;-0.000082   ;-24.45     ;     ~   ;6.34     ;     ~   ;5.4      ;     ~   ;F8V                  
1160;* 35 Ari                           ;SB*;02 43 27.1142794560 +27 42 25.737873444;  8.502 -11.433     ;5.2876    ;13         ;0.000043    ;13.00      ;3.91     ;4.54     ;4.67     ;4.69     ;4.82     ;B3V                  
1161;* zet Cyg                          ;SB*;21 12 56.1859894833 +30 13 36.835250232; -3.792 -45.429     ;21.8130   ;16.72      ;0.000056    ;16.72      ;4.96     ;4.20     ;3.21     ;2.52     ;2.04     ;G8+III-IIIaBa0.5     
1162;HD 204485                          ;PM*;21 28 08.2507924080 +32 13 31.192899420; 133.857 79.565     ;22.4645   ;-24.4      ;-0.000081   ;-24.40     ;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;F0V                  
1163;HD 222451                          ;PM*;23 40 40.6358548488 +36 43 14.758053456; 233.794 22.926     ;23.0158   ;-2.82      ;-0.000009   ;-2.82      ;     ~   ;6.62     ;     ~   ;6.0      ;     ~   ;F1V                  
1164;HD 223848                          ;PM*;23 52 56.2226833488 +36 57 15.318854316;-123.426 -90.421    ;19.7635   ;-0.817     ;-0.000003   ;-0.82      ;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;G0                   
1165;HD 400                             ;PM*;00 08 40.9385785968 +36 37 37.652234016;-114.128 -124.518   ;30.6686   ;-15.163    ;-0.000051   ;-15.16     ;     ~   ;     ~   ;     ~   ;5.9      ;     ~   ;F8IV                 
1166;* tet And                          ;** ;00 17 05.5023632446 +38 40 53.888625622;-57.551 -14.795     ;18.8747   ;0.9        ;0.000003    ;0.90       ;4.72     ;4.67     ;4.61     ;4.53     ;4.52     ;A2V                  
1167;HD 1562                            ;PM*;00 20 00.4079121242 +38 13 38.631661719;-141.310 -275.960   ;40.4392   ;15.307     ;0.000051    ;15.31      ;     ~   ;7.61     ;     ~   ;6.6      ;     ~   ;G1V                  
1168;* sig And                          ;PM*;00 18 19.6573687726 +36 47 06.808541679;-65.212 -42.221     ;23.2542   ;-8.99      ;-0.000030   ;-8.99      ;4.64     ;4.57     ;4.52     ;4.44     ;4.44     ;A2V                  
1169;V* R And                           ;S* ;00 24 01.9457463096 +38 34 37.370144352;-16.021 -32.794     ;2.6444    ;-6.40      ;-0.000021   ;-6.40      ;10.61    ;9.36     ;7.39     ;4.45     ;2.30     ;S5-7/4-5e            
1170;* mu. And                          ;PM*;00 56 45.2090751570 +38 29 57.603377713; 151.021 34.800     ;26.7046   ;7.27       ;0.000024    ;7.27       ;4.14     ;3.99     ;3.87     ;3.72     ;3.64     ;A6V                  
1171;* bet And                          ;PM*;01 09 43.92388 +35 37 14.0075          ; 175.90 -112.20     ;16.52     ;0.608782   ;0.000002    ;0.61       ;5.58     ;3.62     ;2.05     ;0.81     ;-0.19    ;M0+IIIa              
1172;HD 12051                           ;PM*;01 59 06.6332996428 +33 12 34.859320623;243.789 -351.616    ;40.4424   ;-35.189    ;-0.000117   ;-35.19     ;     ~   ;7.92     ;     ~   ;6.7      ;     ~   ;G9V                  
1173;HD 14348                           ;PM*;02 19 52.9249941168 +31 20 14.917557336;121.989 -91.404     ;16.5855   ;-4.54      ;-0.000015   ;-4.54      ;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;F5                   
1174;* 39 Ari                           ;PM*;02 47 54.5420751618 +29 14 49.625779256;150.336 -124.838    ;19.0390   ;-15.293900 ;-0.000051   ;-15.29     ;6.710    ;5.630    ;4.510    ;3.72     ;3.14     ;K0.5IIIb             
1175;HD 16397                           ;PM*;02 38 27.8623940856 +30 48 59.857575511;-487.540 -386.862   ;28.9255   ;-99.632    ;-0.000332   ;-99.62     ;7.98     ;7.96     ;7.37     ;6.84     ;6.49     ;G0V                  
1176;V* VY Ari                          ;RS*;02 48 43.7287198695 +31 06 54.592461256;217.007 -164.626    ;24.1003   ;26.289101  ;0.000088    ;26.29      ;     ~   ;7.72     ;     ~   ;6.4      ;     ~   ;G9                   
1177;V* V460 Cyg                        ;C* ;21 42 01.0830893088 +35 30 36.719916552;    4.263 1.479     ;1.6823    ;8.70       ;0.000029    ;8.70       ;12.97    ;8.32     ;5.84     ;4.10     ;2.71     ;C-N5                 
1178;HD 207702                          ;SB*;21 50 05.5803663528 +34 49 28.677809460;   5.144 11.217     ;1.7966    ;16.15      ;0.000054    ;16.15      ;     ~   ;9.321    ;7.662    ;6.94     ;     ~   ;K5                   
1179;* 1 Lac                            ;*  ;22 15 58.1768995862 +37 44 55.446825079;   8.851 -0.089     ;4.8108    ;-8.58      ;-0.000029   ;-8.58      ;7.24     ;5.61     ;4.15     ;3.15     ;2.43     ;K3-II-III            
1180;HD 210667                          ;BY*;22 11 11.9130867672 +36 15 22.771283184;25.206 -252.113     ;44.488    ;-19.427    ;-0.000065   ;-19.43     ;     ~   ;8.09     ;     ~   ;6.7      ;     ~   ;G9V                  
1181;HD 212487                          ;PM*;22 23 54.2528467824 +38 34 25.005700416;256.784 124.008     ;18.4655   ;7.417      ;0.000025    ;7.42       ;     ~   ;6.71     ;     ~   ;5.9      ;     ~   ;F5IV:                
1182;* 8 Lac B                          ;*  ;22 35 52.0990532376 +39 37 41.339738568;  -1.721 -4.969     ;2.1711    ;-11.70     ;-0.000039   ;-11.70     ;4.61     ;5.52     ;5.67     ;5.88     ;6.06     ;B1.Vs                
1183;* 10 Lac                           ;** ;22 39 15.6786372 +39 03 00.971152      ;  -1.274 -5.605     ;2.1920    ;-10.10     ;-0.000034   ;-10.10     ;3.650    ;4.670    ;4.880    ;4.98     ;5.19     ;O9V                  
1184;* 14 And                           ;PM*;23 31 17.4132523248 +39 14 10.314703644;286.898 -84.043     ;13.1681   ;-59.824    ;-0.000200   ;-59.82     ;     ~   ;6.24     ;     ~   ;4.6      ;     ~   ;G8III                
1185;HD 220807                          ;PM*;23 26 27.3087951888 +40 23 11.422257576;-15.035 -163.298    ;9.6976    ;5.67       ;0.000019    ;5.67       ;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;G5                   
1186;* 15 And                           ;dS*;23 34 37.5368337288 +40 14 11.182658856;-18.402 -46.401     ;13.0457   ;16.51      ;0.000055    ;16.51      ;     ~   ;5.652    ;5.563    ;6.91     ;     ~   ;A1Va                 
1187;HD 223636                          ;PM*;23 51 18.6805777560 +40 11 54.740242608;200.109 -83.734     ;15.6261   ;-23.49     ;-0.000078   ;-23.49     ;     ~   ;7.19     ;     ~   ;6.5      ;     ~   ;F8                   
1188;HD 445                             ;PM*;00 09 03.6742300848 +40 50 34.295411364;126.462 -171.254    ;16.702    ;3.694      ;0.000012    ;3.69       ;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;G5                   
1189;* 23 And                           ;PM*;00 13 30.8399867400 +41 02 07.335805740;-123.558 -146.479   ;26.8715   ;-27.23     ;-0.000091   ;-27.23     ;     ~   ;6.03     ;     ~   ;5.5      ;     ~   ;F0IV                 
1190;HD 3765                            ;PM*;00 40 49.2698857963 +40 11 13.823048636;356.318 -669.205    ;55.8412   ;-63.150    ;-0.000211   ;-63.14     ;     ~   ;8.30     ;     ~   ;6.8      ;     ~   ;K2V                  
1191;* nu. And                          ;SB*;00 49 48.8463243776 +41 04 44.079221948; 21.711 -18.694     ;5.7868    ;-23.9      ;-0.000080   ;-23.90     ;3.80     ;4.38     ;4.53     ;4.56     ;4.71     ;B5V                  
1192;* 56 And                           ;PM*;01 56 09.3646485360 +37 15 06.598615716; 183.259 11.572     ;9.9608    ;62.148499  ;0.000207    ;62.15      ;     ~   ;     ~   ;     ~   ;5.0      ;     ~   ;K0III                
1193;* bet Tri                          ;SB*;02 09 32.62712 +34 59 14.2694          ;  149.16 -39.10     ;25.71     ;12.30      ;0.000041    ;12.30      ;3.26     ;3.14     ;3.00     ;2.86     ;2.78     ;A5III                
1194;* del Tri                          ;SB*;02 17 03.2303387763 +34 13 27.235383770;1151.935 -246.605   ;91.6504   ;-6.57      ;-0.000022   ;-6.57      ;5.50     ;5.48     ;     ~   ;4.5      ;     ~   ;G0.5VFe-0.5          
1195;* ups Cyg                          ;Be*;21 17 55.0858548408 +34 53 48.825463560;   5.667 -5.601     ;5.0120    ;-0.70      ;-0.000002   ;-0.70      ;3.50     ;4.32     ;4.42     ;4.37     ;4.45     ;B2Vne                
1196;* 72 Cyg                           ;PM*;21 34 46.5868653816 +38 32 02.640439968; 112.808 99.499     ;14.0094   ;-68.12     ;-0.000227   ;-68.11     ;6.99     ;5.99     ;4.91     ;4.09     ;3.55     ;K0.5IIIFe0.5         
1197;HD 211073                          ;** ;22 13 52.7275081368 +39 42 53.728839720;  38.941 19.342     ;5.7181    ;-12.08     ;-0.000040   ;-12.08     ;7.32     ;5.88     ;4.49     ;3.48     ;2.74     ;K2.5III              
1198;HD 215030                          ;PM*;22 41 36.0511405296 +41 32 56.847112224; 139.926 60.435     ;10.6784   ;-13.74     ;-0.000046   ;-13.74     ;7.650    ;6.940    ;     ~   ;5.3      ;     ~   ;G9III                
1199;* omi And                          ;Be*;23 01 55.2649954408 +42 19 33.655865640;  18.841 -6.589     ;9.3051    ;-14.00     ;-0.000047   ;-14.00     ;3.00     ;3.53     ;3.62     ;3.61     ;3.69     ;B6IV/V_sh            
1200;* 6 And                            ;SB*;23 10 27.2411998176 +43 32 38.534035632;-211.689 -144.535   ;35.5518   ;-32.22     ;-0.000107   ;-32.22     ;     ~   ;6.38     ;     ~   ;5.6      ;     ~   ;F5V                  
1201;HD 220182                          ;BY*;23 21 36.5123349000 +44 05 52.374630116;635.885 218.770     ;46.6599   ;3.490      ;0.000012    ;3.49       ;     ~   ;8.16     ;     ~   ;6.8      ;     ~   ;G9V                  
1202;HD 221613                          ;SB*;23 33 24.0668684567 +42 50 47.754577571;234.181 191.516     ;29.2246   ;-2.42      ;-0.000008   ;-2.42      ;     ~   ;7.741    ;7.154    ;6.8      ;     ~   ;G0                   
1203;* iot And                          ;Pu*;23 38 08.2003054524 +43 16 05.062997840;  27.163 -1.246     ;6.4313    ;-0.5       ;-0.000002   ;-0.50      ;3.90     ;4.18     ;4.29     ;4.29     ;4.38     ;B8V                  
1204;* kap And                          ;PM*;23 40 24.5077390991 +44 20 02.158669634; 79.998 -19.011     ;19.4064   ;-12.70     ;-0.000042   ;-12.70     ;3.80     ;4.06     ;4.14     ;4.15     ;4.22     ;B9IVn                
1205;HD 5129                            ;SB*;00 53 40.5787674377 +43 21 48.184465403;283.896 -126.586    ;30.2178   ;-5.67      ;-0.000019   ;-5.67      ;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G0                   
1206;V* QU And                          ;RS*;01 13 06.0701770092 +41 39 15.508386213;314.220 -38.720     ;22.2254   ;58.65      ;0.000196    ;58.66      ;     ~   ;8.07     ;     ~   ;6.8      ;     ~   ;G5                   
1207;HD 8995                            ;PM*;01 29 26.4509660880 +42 16 54.856447140;139.030 -60.135     ;20.7466   ;-6.52      ;-0.000022   ;-6.52      ;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;F5                   
1208;* tau And                          ;*  ;01 40 34.8161856549 +40 34 37.339701270; 17.889 -20.981     ;4.7804    ;-13.90     ;-0.000046   ;-13.90     ;4.44     ;4.85     ;4.94     ;4.95     ;5.02     ;B8III                
1209;* ups And                          ;PM*;01 36 47.8415443907 +41 24 19.651368029;-171.892 -381.815   ;74.1940   ;-28.662    ;-0.000096   ;-28.66     ;4.70     ;4.64     ;4.10     ;3.64     ;3.35     ;F9V                  
1210;HD 11907                           ;PM*;01 57 55.4776108992 +40 45 38.175384744;124.663 -86.723     ;22.1592   ;-8.09      ;-0.000027   ;-8.09      ;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F5                   
1211;* 58 And                           ;PM*;02 08 29.2611176620 +37 51 32.706475762;154.277 -43.122     ;17.2479   ;7.60       ;0.000025    ;7.60       ;5.08     ;4.94     ;4.82     ;4.68     ;4.61     ;A5IV-V               
1212;* 17 Per                           ;PM*;02 51 30.8373459264 +35 03 35.062935948;  9.479 -62.744     ;7.7762    ;13.21      ;0.000044    ;13.21      ;8.02     ;6.10     ;4.53     ;3.32     ;2.37     ;K5.5III              
1213;HD 78366                           ;PM*;09 08 51.0703818408 +33 52 55.986351384;-191.413 -114.630   ;52.7709   ;26.060     ;0.000087    ;26.06      ;     ~   ;6.53     ;     ~   ;5.6      ;     ~   ;G0IV-V               
1214;HD 77408                           ;PM*;09 03 15.7430487906 +32 52 53.167659330;-418.485 -3.274     ;21.2897   ;72.323     ;0.000241    ;72.33      ;     ~   ;7.53     ;     ~   ;6.8      ;     ~   ;F6IV                 
1215;V* RS Cnc                          ;S* ;09 10 38.7970163421 +30 57 47.291122681;-10.723 -33.822     ;6.6490    ;13.72      ;0.000046    ;13.72      ;8.65     ;7.62     ;5.95     ;3.06     ;0.73     ;M6S                  
1216;* 75 Cnc                           ;SB*;09 08 47.3310550733 +26 37 44.817238087;-138.947 -371.029   ;32.0163   ;-13.730    ;-0.000046   ;-13.73     ;     ~   ;6.62     ;5.95     ;5.5      ;     ~   ;G5IV-V               
1217;* kap Pyx                          ;*  ;09 08 02.8798624200 -25 51 30.736370268;   34.972 0.197     ;6.239     ;-44.7      ;-0.000149   ;-44.70     ;8.04     ;6.17     ;4.56     ;3.32     ;2.42     ;K4III                
1218;* 19 UMa                           ;HB*;09 15 14.2459147392 +34 38 00.659017644;-158.757 48.322     ;8.8431    ;55.175598  ;0.000184    ;55.18      ;     ~   ;     ~   ;     ~   ;5.5      ;     ~   ;G6III                
1219;* alf Lyn                          ;PM*;09 21 03.3002104870 +34 23 33.213441656;-218.723 16.555     ;14.7042   ;38.47      ;0.000128    ;38.47      ;6.63     ;4.69     ;3.14     ;1.91     ;1.01     ;K6III                
1220;HD 80536                           ;PM*;09 21 10.6016307192 +25 09 47.597427612;57.173 -142.643     ;21.0987   ;-37.976    ;-0.000127   ;-37.97     ;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;G0                   
1221;HD 79765                           ;PM*;09 16 27.1079681472 +18 48 36.915245496;-166.544 -13.099    ;14.0275   ;30.5       ;0.000102    ;30.50      ;7.310    ;7.320    ;     ~   ;6.8      ;     ~   ;A3                   
1222;* 83 Cnc                           ;PM*;09 18 58.8555223728 +17 42 19.012491144;-133.878 -108.942   ;23.6116   ;-12.71     ;-0.000042   ;-12.71     ;7.05     ;7.11     ;6.64     ;6.18     ;5.89     ;F5                   
1223;* pi.01 Cnc                        ;SB*;09 12 17.5474052342 +14 59 45.776204103;-523.619 244.282    ;49.1493   ;49.99      ;0.000167    ;49.99      ;7.49     ;7.24     ;6.51     ;5.90     ;5.52     ;G9V                  
1224;* tet Hya                          ;SB*;09 14 21.8600711562 +02 18 51.551915906;134.386 -322.143    ;27.0704   ;-10.70     ;-0.000036   ;-10.70     ;     ~   ;3.82     ;     ~   ;3.9      ;     ~   ;B9.5V+DA1.6          
1225;* tet Pyx                          ;*  ;09 21 29.5903106784 -25 57 55.586267712; -12.860 -9.792     ;5.096     ;20.0       ;0.000067    ;20.00      ;8.36     ;6.33     ;4.72     ;3.32     ;2.24     ;M0.5IIIBa0.5         
1226;* kap Leo                          ;** ;09 24 39.2586717722 +26 10 56.367449863;-32.493 -47.421     ;16.3121   ;27.81      ;0.000093    ;27.81      ;7.00     ;5.69     ;4.46     ;3.55     ;2.92     ;K2IIIb               
1227;HD 82443                           ;BY*;09 32 43.7594578944 +26 59 18.706023348;-147.260 -246.593   ;55.3291   ;8.411      ;0.000028    ;8.41       ;     ~   ;7.78     ;     ~   ;6.6      ;     ~   ;G9V(k)               
1228;* lam Leo                          ;*  ;09 31 43.2297382366 +22 58 04.732628945;-18.450 -36.303     ;8.7555    ;24.27      ;0.000081    ;24.27      ;7.74     ;5.85     ;4.31     ;3.09     ;2.19     ;K4.5III              
1229;HD 82106                           ;PM*;09 29 54.8251829217 +05 39 18.473349688;-502.655 108.537    ;78.1945   ;29.893     ;0.000100    ;29.89      ;9.071    ;8.223    ;7.197    ;6.626    ;6.13     ;K3V                  
1230;* alf Hya                          ;*  ;09 27 35.24270 -08 39 30.9583          ;   -15.23 34.37     ;18.09     ;-4.561     ;-0.000015   ;-4.56      ;5.14     ;3.42     ;1.97     ;0.93     ;0.16     ;K3IIIa               
1231;* lam Pyx                          ;PM*;09 23 12.2502975192 -28 50 01.900865148;-126.913 23.116     ;17.0726   ;10.80      ;0.000036    ;10.80      ;6.22     ;5.59     ;4.68     ;3.97     ;3.50     ;G8.5IIIbFe-1         
1232;* eps Ant                          ;*  ;09 29 14.7196016256 -35 57 04.814778864;  -24.844 5.720     ;4.6349    ;22.2       ;0.000074    ;22.20      ;7.63     ;5.95     ;4.51     ;3.50     ;2.74     ;K3III                
1233;* 11 LMi                           ;RS*;09 35 39.5021937366 +35 48 36.477051175;-726.514 -259.057   ;89.0092   ;14.420     ;0.000048    ;14.42      ;6.560    ;6.110    ;5.340    ;4.79     ;4.42     ;G8Va                 
1234;V* DR Leo                          ;LP*;09 41 35.1164474616 +31 16 40.128589164; 15.925 -10.177     ;3.2999    ;-15.936800 ;-0.000053   ;-15.94     ;9.18     ;7.42     ;5.84     ;4.55     ;3.58     ;K6III                
1235;* omi Leo                          ;SB*;09 41 09.0321741326 +09 53 32.308426423;-142.621 -37.338    ;24.1976   ;26.18      ;0.000087    ;26.18      ;4.22     ;4.01     ;3.52     ;3.11     ;2.88     ;F8-G0III+A7m         
1236;* 2 Sex                            ;PM*;09 38 27.2885284367 +04 38 57.453963996;-164.812 -50.933    ;10.3358   ;44.85      ;0.000150    ;44.85      ;7.45     ;6.00     ;4.68     ;3.62     ;2.91     ;K3III                
1237;* iot Hya                          ;PM*;09 39 51.3614722468 -01 08 34.118633450; 46.270 -62.544     ;12.9055   ;24.19      ;0.000081    ;24.19      ;6.68     ;5.23     ;3.91     ;2.92     ;2.25     ;K2.5III              
1238;* I Hya                            ;Be*;09 41 17.0067101149 -23 35 29.451517089;  -28.983 3.145     ;5.9358    ;25.9       ;0.000086    ;25.90      ;4.07     ;4.65     ;4.76     ;4.75     ;4.84     ;B5V                  
1239;* tet Ant                          ;** ;09 44 12.0951165 -27 46 10.101055      ;   -53.23 37.24     ;9.61      ;24.00      ;0.000080    ;24.00      ;5.65     ;5.29     ;4.79     ;4.32     ;4.00     ;A7V+G8III            
1240;* mu. Leo                          ;PM*;09 52 45.8170136628 +26 00 25.024269924;-216.266 -55.125    ;26.0971   ;13.647     ;0.000046    ;13.65      ;6.50     ;5.10     ;3.88     ;2.97     ;2.39     ;K2IIIbCN1Ca1         
1241;* g Leo                            ;PM*;09 51 53.0036478840 +24 23 42.941618844;30.555 -151.823     ;27.1345   ;-0.68      ;-0.000002   ;-0.68      ;     ~   ;     ~   ;     ~   ;5.2      ;     ~   ;A5IV                 
1242;* eps Leo                          ;*  ;09 45 51.0736168507 +23 46 27.313597604;-46.154 -10.799     ;14.3394   ;4.322      ;0.000014    ;4.32       ;4.23     ;3.79     ;2.98     ;2.36     ;1.93     ;G1IIIa               
1243;V* R Leo                           ;Mi*;09 47 33.4839808805 +11 25 43.823283729;  6.132 -53.097     ;14.0566   ;14.10      ;0.000047    ;14.10      ;9.22     ;8.94     ;7.53     ;3.39     ;0.12     ;M7-9e                
1244;* 4 Sex                            ;SB*;09 50 30.0821274083 +04 20 37.136042875;-148.668 -51.239    ;21.1803   ;16.34      ;0.000055    ;16.34      ;     ~   ;     ~   ;     ~   ;6.0      ;     ~   ;F5V                  
1245;* 7 Sex                            ;PM*;09 52 12.1641996384 +02 27 14.865250500;-183.327 94.912     ;4.9887    ;103.29     ;0.000345    ;103.31     ;5.90     ;5.98     ;     ~   ;6.0      ;     ~   ;A0III/IV             
1246;* gam Sex                          ;** ;09 52 30.43727 -08 06 18.1269          ;  -57.28 -49.26     ;11.75     ;12.20      ;0.000041    ;12.20      ;     ~   ;     ~   ;     ~   ;6.46     ;     ~   ;A0/1V                
1247;* ups01 Hya                        ;*  ;09 51 28.6749789221 -14 50 47.863368049; 31.037 -26.862     ;13.1263   ;-14.34     ;-0.000048   ;-14.34     ;5.68     ;5.03     ;4.11     ;3.42     ;2.95     ;G7III                
1248;HD 87127                           ;PM*;10 03 53.4925362960 +38 01 13.571734116;-101.749 -124.160   ;21.9481   ;28.99      ;0.000097    ;28.99      ;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F5                   
1249;* 21 LMi                           ;dS*;10 07 25.7623702826 +35 14 40.905120440;   52.403 0.509     ;36.3218   ;-13.86     ;-0.000046   ;-13.86     ;4.74     ;4.67     ;4.49     ;4.31     ;4.24     ;A7V(n)               
1250;* 20 LMi                           ;PM*;10 01 00.6568762394 +31 55 25.213014837;-528.871 -429.376   ;66.9958   ;57.525799  ;0.000192    ;57.53      ;     ~   ;6.05     ;5.37     ;4.9      ;     ~   ;G3VaHdel1            
1251;* eta Leo                          ;sg*;10 07 19.9523915176 +16 45 45.587968398;  -1.118 -0.655     ;1.7965    ;2.82       ;0.000009    ;2.82       ;3.17     ;3.39     ;3.41     ;3.32     ;3.35     ;A0Ib                 
1252;* pi. Leo                          ;*  ;10 00 12.8060146393 +08 02 39.190724909;-32.181 -21.883     ;6.8513    ;22.30      ;0.000074    ;22.30      ;8.22     ;6.30     ;4.70     ;3.27     ;2.19     ;M2-III               
1253;HD 86612                           ;Be*;09 59 06.3044206872 -23 57 02.767063320;  -24.712 5.311     ;3.2196    ;29.60      ;0.000099    ;29.60      ;5.51     ;6.13     ;6.25     ;6.14     ;6.19     ;B5IVe                
